time,temp
7,15.606
8,19.04066667
9,22.81666667
10,23.064
11,24.576
12,24.576
13,26.136
14,28.29066667
15,28.01666667
16,26.66666667
17,28.566
18,27.47266667
19,27.47266667
20,22.326
